ASV,Kingdom,Phylum,Class,Order,Family,Genus,S23,S24,S25,S26,S27,S28,S29,S37,S38,S39,S40,S41,S42,S43
ASV_ 640,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA,0,0,0,5,0,0,0,0,0,0,0,0,0,0
ASV_ 641,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas,0,0,0,5,0,0,0,0,0,0,0,0,0,0
ASV_ 642,Bacteria,Firmicutes,Bacilli,Staphylococcales,Gemellaceae,Gemella,0,0,0,0,5,0,0,0,0,0,0,0,0,0
ASV_ 643,Bacteria,Chloroflexi,NA,NA,NA,NA,0,0,0,0,5,0,0,0,0,0,0,0,0,0
ASV_ 644,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA,0,0,0,0,5,0,0,0,0,0,0,0,0,0
ASV_ 645,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Roseomonas,0,0,0,0,5,0,0,0,0,0,0,0,0,0
ASV_ 646,Bacteria,Actinobacteriota,NA,NA,NA,NA,0,0,0,0,0,0,5,0,0,0,0,0,0,0
ASV_ 647,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,0,0,0,0,0,0,0,5,0,0,0,0,0,0
ASV_ 648,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Cerasibacillus,0,0,0,0,0,0,0,5,0,0,0,0,0,0
ASV_ 649,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,0,0,0,0,0,0,0,0,5,0,0,0,0,0
ASV_ 65,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,NA,0,0,0,0,0,0,0,223,390,800,0,530,201,28
ASV_ 650,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales Incertae Sedis,Phreatobacter,0,0,0,0,0,0,0,0,5,0,0,0,0,0
ASV_ 651,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,NA,NA,0,0,0,0,0,0,0,0,0,0,5,0,0,0
ASV_ 652,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,0,0,0,0,0,0,0,0,0,0,0,5,0,0
ASV_ 653,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Luteolibacter,0,0,0,0,0,0,0,0,0,0,0,0,5,0
ASV_ 654,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Kinneretia,0,0,0,0,0,0,0,0,0,0,0,0,0,5
ASV_ 655,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,5
ASV_ 656,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,5
ASV_ 657,Bacteria,Firmicutes,NA,NA,NA,NA,0,4,0,0,0,0,0,0,0,0,0,0,0,0
ASV_ 658,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Cloacibacterium,0,4,0,0,0,0,0,0,0,0,0,0,0,0
ASV_ 659,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,NA,0,0,4,0,0,0,0,0,0,0,0,0,0,0
ASV_ 66,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,0,0,82,1070,338,0,337,32,148,0,85,0,0,55
ASV_ 660,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,NA,0,0,4,0,0,0,0,0,0,0,0,0,0,0
